Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
131,Brown Crake,Zapornia akool,Least Concern,Schedule-IV,X,X,-57.75015235,18.80309885,-3.528210799,6.65143355,35.886987,0.1037,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
132,Baillon's Crake,Zapornia pusilla,Least Concern,Schedule-IV,,X,NA,NA,17.67437004,27.42941447,14.9199113,0.0789,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
133,Black-tailed Crake,Zapornia bicolor,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.6267171,0.0595,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
134,Demoiselle Crane,Grus virgo,Least Concern,Schedule-IV,,X,NA,NA,-1.358290574,21.54739176,14.7106192,0.0817,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
135,Sarus Crane,Antigone antigone,Vulnerable,Schedule-IV,X,X,-49.85807901,20.5234341,-7.388347427,5.563071058,33.1436412,0.0707,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
136,Common Crane,Grus grus,Least Concern,Schedule-IV,X,X,-72.85383506,14.20419923,-4.236652788,8.798499982,16.4712266,0.0669,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
137,Black-necked Crane,Grus nigricollis,Vulnerable,Schedule-I,,,NA,NA,NA,NA,1.5852774,0.045,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Migratory-Long-Distance
138,Indian Thick-knee,Burhinus indicus,Least Concern,Schedule-IV,X,X,-62.12811271,10.76480706,-4.4782304,4.480302776,76.0387211,0.0978,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
139,Great Thick-knee,Esacus recurvirostris,Near Threatened,Schedule-IV,X,X,-55.22955143,19.85356391,-3.538432373,6.557910097,33.3922975,0.0773,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
140,Black-winged Stilt,Himantopus himantopus,Least Concern,Schedule-IV,X,X,-14.0465435,17.85085428,0.228626129,3.696900402,53.7457902,0.0806,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
141,Pied Avocet,Recurvirostra avosetta,Least Concern,Schedule-IV,X,X,-26.5507111,37.01520453,-8.845955401,7.322066458,21.9785387,0.0718,Uncertain,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
142,Eurasian Oystercatcher,Haematopus ostralegus,Near Threatened,Schedule-IV,,X,NA,NA,-0.644783426,43.6197795,2.8359705,0.04,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance
143,Grey Plover,Pluvialis squatarola,Least Concern,Schedule-IV,X,X,-86.79352913,17.30461316,-3.394827077,21.82077242,5.3365338,0.0415,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
144,Pacific Golden Plover,Pluvialis fulva,Least Concern,Schedule-IV,X,X,-88.46129839,5.844151486,-11.17859498,5.952840035,16.8341698,0.053,Strong Decline,Strong Decline,Moderate,High,Trends,Migratory-Long-Distance
145,Northern Lapwing,Vanellus vanellus,Near Threatened,Schedule-IV,,X,NA,NA,6.018265734,20.6330695,6.7241511,0.0671,Data Deficient,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
146,River Lapwing,Vanellus duvaucelii,Near Threatened,Schedule-IV,X,X,-26.79432849,26.27050572,-3.015883176,5.902439611,38.0892334,0.0769,Uncertain,Uncertain,Large,Moderate,Trends & Range Size,Resident
147,Yellow-wattled Lapwing,Vanellus malabaricus,Least Concern,Schedule-IV,X,X,-47.44415,10.86955166,-5.900961071,2.916142213,121.2639236,0.1036,Moderate Decline,Strong Decline,Very Large,Moderate,Trends & Range Size,Resident
148,Grey-headed Lapwing,Vanellus cinereus,Least Concern,Schedule-IV,X,X,10.08803466,109.4286903,-11.0196283,11.2531526,16.4727799,0.0589,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
149,Red-wattled Lapwing,Vanellus indicus,Least Concern,Schedule-IV,X,X,5.999759703,12.25566521,-2.953931186,1.716301467,203.0036873,0.0708,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
150,Sociable Lapwing,Vanellus gregarius,Critically Endangered,Schedule-IV,,,NA,NA,NA,NA,0.5227379,0.0704,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Migratory-Long-Distance
151,White-tailed Lapwing,Vanellus leucurus,Least Concern,Schedule-IV,X,X,-51.38309004,31.23613094,-11.08282438,7.669725652,18.2091409,0.1054,Uncertain,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
152,Lesser Sand Plover,Charadrius mongolus,Least Concern,Schedule-IV,X,X,-72.47281169,15.72988343,-6.289249509,8.202349994,14.8531278,0.0504,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Local
153,Greater Sand Plover,Charadrius leschenaultii,Least Concern,Schedule-IV,,X,NA,NA,-9.264966895,9.733136917,7.9699091,0.0422,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
154,Kentish Plover,Charadrius alexandrinus,Least Concern,Schedule-IV,X,X,-65.98916076,11.6767108,-5.383067833,5.248137468,6.0067377,0.0618,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
155,Little Ringed Plover,Charadrius dubius,Least Concern,Schedule-IV,X,X,-57.31160337,8.318309031,-4.959005113,2.798537653,30.8000172,0.0981,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
156,Greater Painted-snipe,Rostratula benghalensis,Least Concern,Schedule-IV,X,X,-51.73690013,15.20082454,-3.300841949,4.77556337,84.2980352,0.1502,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
157,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Least Concern,Schedule-IV,X,X,-41.66954482,13.18370548,-0.664633354,4.000245189,101.4350704,0.0961,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Resident
158,Bronze-winged Jacana,Metopidius indicus,Least Concern,Schedule-IV,X,X,-1.339210733,23.88615638,-5.674597237,3.393998435,101.0924268,0.0813,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
159,Whimbrel,Numenius phaeopus,Least Concern,Schedule-IV,X,X,-78.93920361,16.8159096,-2.765751204,13.14180589,9.2757341,0.0407,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
160,Eurasian Curlew,Numenius arquata,Near Threatened,Schedule-IV,X,X,-76.99343466,12.42943907,0.460939282,9.590240588,20.3281666,0.0555,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
161,Bar-tailed Godwit,Limosa lapponica,Near Threatened,Schedule-IV,,X,NA,NA,-1.176960607,39.95972056,6.2318059,0.0478,Data Deficient,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
162,Black-tailed Godwit,Limosa limosa,Near Threatened,Schedule-IV,X,X,-44.18370983,19.96596261,-1.151502111,5.976397581,45.5374741,0.0695,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
163,Ruddy Turnstone,Arenaria interpres,Least Concern,Schedule-IV,,X,NA,NA,-8.264662153,11.82129228,5.8204539,0.044,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
164,Great Knot,Calidris tenuirostris,Endangered,Schedule-IV,,,NA,NA,NA,NA,2.005601,0.0521,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Migratory-Long-Distance
165,Ruff,Calidris pugnax,Least Concern,Schedule-IV,X,X,-44.20096079,23.82858429,-2.201677691,7.055150117,40.8440697,0.0699,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
166,Broad-billed Sandpiper,Calidris falcinellus,Least Concern,Schedule-IV,,X,NA,NA,-13.53667831,13.80105657,3.4981429,0.0429,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance
167,Curlew Sandpiper,Calidris ferruginea,Near Threatened,Schedule-IV,X,X,-87.61995944,8.658632845,-8.046671381,9.703465739,8.412309,0.0462,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
168,Temminck's Stint,Calidris temminckii,Least Concern,Schedule-IV,X,X,-61.94188065,12.46365907,3.658857933,6.694403282,29.2548,0,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
169,Sanderling,Calidris alba,Least Concern,Schedule-IV,,X,NA,NA,-14.11212982,8.956199597,6.3867962,0.047,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
170,Dunlin,Calidris alpina,Least Concern,Schedule-IV,X,X,-79.19666008,17.42834142,-6.967359543,12.36216871,9.0422014,0.0579,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
171,Little Stint,Calidris minuta,Least Concern,Schedule-IV,X,X,-67.36791324,10.2056366,-2.679510747,5.095348296,66.8255797,0.0841,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
172,Common Snipe,Gallinago gallinago,Least Concern,Schedule-IV,X,X,-43.24536069,19.21491145,-0.548039983,5.580036331,35.267,0,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
173,Pintail Snipe,Gallinago stenura,Least Concern,Schedule-IV,X,X,-66.00270268,22.67929421,-6.091148445,9.058830632,16.1755157,0.0766,Moderate Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
174,Terek Sandpiper,Xenus cinereus,Least Concern,Schedule-IV,,X,NA,NA,-8.201295182,21.21160859,5.5515645,0.0382,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
175,Common Sandpiper,Actitis hypoleucos,Least Concern,Schedule-IV,X,X,-39.98326693,10.3690344,-6.073131186,2.43857761,95.9124,0,Moderate Decline,Strong Decline,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
176,Green Sandpiper,Tringa ochropus,Least Concern,Schedule-IV,X,X,-49.55312431,10.570625,-1.487761632,3.550312624,134.9563595,0.1297,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Migratory-Long-Distance
177,Spotted Redshank,Tringa erythropus,Least Concern,Schedule-IV,X,X,-57.59120467,33.40522819,2.978606763,15.36615373,35.8075993,0.0839,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
178,Common Greenshank,Tringa nebularia,Least Concern,Schedule-IV,X,X,-62.2191587,9.256458536,-5.274410085,3.800074894,91.7561731,0.1004,Strong Decline,Moderate Decline,Large,High,Trends,Migratory-Long-Distance
179,Marsh Sandpiper,Tringa stagnatilis,Least Concern,Schedule-IV,X,X,-57.96042004,16.08451885,-3.567096226,5.832784956,33.1612,0,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
180,Wood Sandpiper,Tringa glareola,Least Concern,Schedule-IV,X,X,-31.70956198,14.19325698,-4.418328437,3.038359756,116.8556891,0.0914,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Migratory-Long-Distance
181,Common Redshank,Tringa totanus,Least Concern,Schedule-IV,X,X,-62.14481726,12.2470759,-5.074206417,4.854759557,56.1909601,0.0728,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
182,Yellow-legged Buttonquail,Turnix tanki,Least Concern,Schedule-IV,,,NA,NA,NA,NA,20.9791125,0.2013,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
183,Barred Buttonquail,Turnix suscitator,Least Concern,Schedule-IV,X,X,2.405307365,35.91368121,4.044543956,6.465455689,79.3359405,0.1345,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
184,Indian Courser,Cursorius coromandelicus,Least Concern,Schedule-IV,X,X,-62.50338327,14.82238958,-11.888752,4.463637451,31.7744561,0.079,Moderate Decline,Strong Decline,Large,Moderate,Trends & Range Size,Resident
185,Jerdon's Courser,Rhinoptilus bitorquatus,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Resident
186,Oriental Pratincole,Glareola maldivarum,Least Concern,Schedule-IV,,X,NA,NA,-10.72562148,14.51577774,3.4192606,0.0596,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
187,Little Pratincole,Glareola lactea,Least Concern,Schedule-IV,X,X,-68.93316934,9.38143097,-4.23671904,4.801770953,73.054883,0.1068,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
188,Slender-billed Gull,Chroicocephalus genei,Least Concern,Schedule-IV,,X,NA,NA,-1.027254033,16.21798727,12.0476687,0.0587,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
189,Black-headed Gull,Chroicocephalus ridibundus,Least Concern,Schedule-IV,X,X,-63.37632345,15.55894621,-4.83084673,6.419490969,29.6034722,0.0658,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
190,Brown-headed Gull,Chroicocephalus brunnicephalus,Least Concern,Schedule-IV,X,X,-73.38632935,17.11465089,-2.401167315,10.26349346,33.367073,0.0662,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Local
191,Pallas's Gull,Ichthyaetus ichthyaetus,Least Concern,Schedule-IV,X,X,-41.98512401,46.74527188,-6.308954193,11.61119707,22.2858707,0.0629,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
192,Lesser Black-backed Gull,Larus fuscus,Least Concern,Schedule-IV,X,X,-44.28148698,47.89903865,4.353349653,17.55396924,10.0804307,0.0504,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
193,Little Tern,Sternula albifrons,Least Concern,Schedule-IV,X,X,-75.35596569,17.37926367,-5.856295049,10.37779616,5.8633419,0.0753,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
194,Gull-billed Tern,Gelochelidon nilotica,Least Concern,Schedule-IV,X,X,-69.13008322,13.9472054,3.030199859,8.555493467,3.6441452,0.0486,Strong Decline,Uncertain,Restricted,High,Trends,Migratory-Local
195,Caspian Tern,Hydroprogne caspia,Least Concern,Schedule-IV,X,X,-57.7250609,31.59993238,2.976273077,14.437333,19.6859646,0.0555,Moderate Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
196,Whiskered Tern,Chlidonias hybrida,Least Concern,Schedule-IV,X,X,-51.32306749,15.02628821,-11.25310227,3.387230038,16.9316365,0.0718,Moderate Decline,Strong Decline,Moderate,Moderate,Trends & Range Size,Resident
197,Common Tern,Sterna hirundo,Least Concern,Schedule-IV,,X,NA,NA,0.814251398,16.86703824,8.0744032,0.0599,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local
198,Black-bellied Tern,Sterna acuticauda,Endangered,Schedule-IV,,,NA,NA,NA,NA,4.1624851,0.0678,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
199,River Tern,Sterna aurantia,Near Threatened,Schedule-IV,X,X,-41.21288222,13.431522,-5.239938812,3.352677677,125.3275942,0.0887,Moderate Decline,Moderate Decline,Very Large,Moderate,Trends & Range Size,Resident
200,Greater Crested Tern,Thalasseus bergii,Least Concern,Schedule-IV,,X,NA,NA,24.16049359,20.41906532,8.8675196,0.0434,Data Deficient,Strong Increase,Moderate,Low,Trends & Range Size,Resident
201,Lesser Crested Tern,Thalasseus bengalensis,Least Concern,Schedule-IV,,X,NA,NA,11.64265251,49.87839382,9.2644568,0.045,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
202,Indian Skimmer,Rynchops albicollis,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,3.4796179,0.057,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
203,Asian Openbill,Anastomus oscitans,Least Concern,Schedule-IV,X,X,32.52576988,24.4560931,-7.738763185,2.392417057,158.779125,0.0856,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
204,Black Stork,Ciconia nigra,Least Concern,Schedule-IV,X,X,-47.8973597,31.10862047,-12.29876614,6.952771671,23.7433947,0.0768,Uncertain,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
205,Woolly-necked Stork,Ciconia episcopus,Vulnerable,Schedule-IV,X,X,-23.95399251,18.09461863,-6.175584738,3.531689873,120.4472106,0.1007,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
206,Black-necked Stork,Ephippiorhynchus asiaticus,Near Threatened,Schedule-IV,X,X,-38.94509223,32.1054529,-12.51382175,5.339242177,20.5625879,0.0748,Uncertain,Strong Decline,Moderate,Moderate,Trends & Range Size,Resident
207,Lesser Adjutant,Leptoptilos javanicus,Vulnerable,Schedule-IV,X,X,-25.14794291,43.98710828,-1.506219105,10.12643504,20.7500653,0.0682,Uncertain,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
208,Greater Adjutant,Leptoptilos dubius,Endangered,Schedule-IV,,,NA,NA,NA,NA,4.6349154,0.0774,Data Deficient,Data Deficient,Moderate,High,Range Size & IUCN Status,Resident
209,Painted Stork,Mycteria leucocephala,Near Threatened,Schedule-IV,X,X,42.05512916,33.17113706,-3.26892361,3.671747588,123.9309346,0.0804,Uncertain,Uncertain,Very Large,Moderate,Trends & Range Size,Resident
210,Oriental Darter,Anhinga melanogaster,Near Threatened,Schedule-IV,X,X,18.48815919,26.65879346,-5.577107524,2.984534752,105.4360959,0.0921,Uncertain,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
211,Little Cormorant,Microcarbo niger,Least Concern,Schedule-IV,X,X,23.85712965,15.38633414,-6.127145668,1.598169775,196.8706238,0.0801,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
212,Great Cormorant,Phalacrocorax carbo,Least Concern,Schedule-IV,X,X,-3.24826992,21.51818425,-0.76269856,3.658777858,24.428336,0.0791,Stable,Uncertain,Moderate,Low,Trends & Range Size,Resident
213,Indian Cormorant,Phalacrocorax fuscicollis,Least Concern,Schedule-IV,X,X,67.97484475,30.41054936,-6.198578597,2.19386578,151.4903669,0.1065,Moderate Increase,Strong Decline,Very Large,Low,Trends & Range Size,Resident
214,Great White Pelican,Pelecanus onocrotalus,Least Concern,Schedule-IV,X,X,31.63538206,129.457216,-2.545858082,19.02224834,17.8606106,0.0717,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
215,Spot-billed Pelican,Pelecanus philippensis,Near Threatened,Schedule-IV,X,X,147.1342332,131.0525645,-5.205033516,7.765206834,23.1709003,0.0504,Uncertain,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
216,Dalmatian Pelican,Pelecanus crispus,Near Threatened,Schedule-IV,,X,NA,NA,0.598252616,21.95352657,11.2239282,0.1021,Data Deficient,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
217,Yellow Bittern,Ixobrychus sinensis,Least Concern,Schedule-IV,X,X,-3.199790882,33.13016801,-2.336592149,5.182507502,15.0545408,0.0798,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
218,Cinnamon Bittern,Ixobrychus cinnamomeus,Least Concern,Schedule-IV,X,X,-67.06191591,10.88144922,-11.23180829,3.885776179,19.8247606,0.0798,Strong Decline,Strong Decline,Moderate,High,Trends,Resident
219,Black Bittern,Ixobrychus flavicollis,Least Concern,Schedule-IV,X,X,6.121398125,43.81037061,-10.41318142,3.992347426,11.3087396,0.1003,Uncertain,Strong Decline,Moderate,Moderate,Trends & Range Size,Resident
220,Grey Heron,Ardea cinerea,Least Concern,Schedule-IV,X,X,-9.354290319,15.16433019,-3.562939567,2.625310883,164.8576021,0.0923,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
221,White-bellied Heron,Ardea insignis,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,0.0625,0,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Resident
222,Purple Heron,Ardea purpurea,Least Concern,Schedule-IV,X,X,21.12197557,21.17359818,-7.997018955,2.114084203,145.3914269,0.0951,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
223,Great Egret,Ardea alba,Least Concern,Schedule-IV,X,X,-10.59793757,13.25242927,-6.553737746,1.963235871,171.0963378,0.102,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
224,Intermediate Egret,Ardea intermedia,Least Concern,Schedule-IV,X,X,-12.82399479,11.66814412,-8.65001,1.619489916,178.0430103,0.0997,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
225,Little Egret,Egretta garzetta,Least Concern,Schedule-IV,X,X,-22.44374419,9.255148434,-6.978720739,1.559314352,195.9122806,0.0827,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
226,Western Reef Egret,Egretta gularis,Least Concern,Schedule-IV,X,X,-39.87703236,35.74616312,-4.932275789,9.05595948,6.3514427,0.0553,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
227,Cattle Egret,Bubulcus ibis,Least Concern,Schedule-IV,X,X,16.73773102,12.33075759,-4.331993793,1.381322817,214.7180666,0.0711,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
228,Indian Pond Heron,Ardeola grayii,Least Concern,Schedule-IV,X,X,-4.998490377,10.5741962,-4.189560677,1.578919057,207.7181942,0.0745,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
229,Striated Heron,Butorides striata,Least Concern,Schedule-IV,X,X,-17.56365201,21.29568597,-1.856344627,4.209168059,92.1581429,0.1343,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
230,Black-crowned Night Heron,Nycticorax nycticorax,Least Concern,Schedule-IV,X,X,12.28367706,23.45939205,-0.726791642,3.045441564,127.7858262,0.1207,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
231,Malayan Night Heron,Gorsachius melanolophus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.1720565,0.0675,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
232,Glossy Ibis,Plegadis falcinellus,Least Concern,Schedule-IV,X,X,139.6263729,62.76074263,-0.151710215,4.109886309,98.4723627,0.0815,Strong Increase,Uncertain,Large,Low,Trends & Range Size,Resident
233,Black-headed Ibis,Threskiornis melanocephalus,Near Threatened,Schedule-IV,X,X,79.9413855,37.09936718,-2.390016074,3.058738705,137.2328678,0.0849,Moderate Increase,Uncertain,Very Large,Low,Trends & Range Size,Resident
234,Indian Black Ibis,Pseudibis papillosa,Least Concern,Schedule-IV,X,X,100.5255096,46.60690794,-2.439848533,3.423051524,136.1173473,0.0756,Strong Increase,Uncertain,Very Large,Low,Trends & Range Size,Resident
235,Eurasian Spoonbill,Platalea leucorodia,Least Concern,Schedule-I,X,X,-14.88432189,26.8002401,-4.074032077,4.898716693,23.7401741,0.0786,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
236,Osprey,Pandion haliaetus,Least Concern,Schedule-I,X,X,-48.43709293,25.93762476,-4.798083345,7.715716815,58.4781034,0.0902,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
237,Black-winged Kite,Elanus caeruleus,Least Concern,Schedule-I,X,X,-34.65406947,10.13714129,-5.668566082,2.330659347,197.2834251,0.1055,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
238,Bearded Vulture,Gypaetus barbatus,Near Threatened,Schedule-I,X,X,-60.91853084,27.77862698,-10.40227169,8.718887824,15.5303128,0.0634,Moderate Decline,Moderate Decline,Moderate,Moderate,Trends & Range Size,Resident
239,Egyptian Vulture,Neophron percnopterus,Endangered,Schedule-IV,X,X,-59.47846515,13.98475665,-8.848753092,4.661160142,62.395722,0.0709,Moderate Decline,Strong Decline,Large,High,Trends,Resident
240,Oriental Honey Buzzard,Pernis ptilorhynchus,Least Concern,Schedule-I,X,X,-2.180895733,16.57643826,-5.201406844,2.286596466,163.2789358,0.1365,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
241,Jerdon's Baza,Aviceda jerdoni,Least Concern,Schedule-I,,,NA,NA,NA,NA,11.6227789,0.133,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
242,Black Baza,Aviceda leuphotes,Least Concern,Schedule-I,,X,NA,NA,-3.381683651,41.84854142,0.9299121,0.092,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
243,Red-headed Vulture,Sarcogyps calvus,Critically Endangered,Schedule-IV,X,X,-81.10563915,9.628684269,-17.77162366,4.220555399,17.7072291,0.0676,Strong Decline,Strong Decline,Moderate,High,Trends,Resident
244,Cinereous Vulture,Aegypius monachus,Near Threatened,Schedule-IV,,X,NA,NA,-12.41534485,10.97123857,6.0030169,0.0906,Data Deficient,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
245,White-rumped Vulture,Gyps bengalensis,Critically Endangered,Schedule-I,X,X,-97.04088694,0.914415323,-17.69339458,3.03821425,24.3879073,0.0765,Strong Decline,Strong Decline,Moderate,High,Trends,Resident
246,Indian Vulture,Gyps indicus,Critically Endangered,Schedule-I,X,X,-90.09340134,4.260556302,-10.35223147,5.655421615,24.4856939,0.0701,Strong Decline,Strong Decline,Moderate,High,Trends,Resident
247,Slender-billed Vulture,Gyps tenuirostris,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,3.8507543,0.0662,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
248,Himalayan Vulture,Gyps himalayensis,Near Threatened,Schedule-IV,X,X,-33.94470556,39.94141599,-4.235911347,9.121591124,12.2365704,0.0741,Uncertain,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
249,Griffon Vulture,Gyps fulvus,Least Concern,Schedule-IV,X,X,-76.46395719,20.58642105,-10.54752658,10.43915268,15.9780188,0.1027,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
250,Nicobar Serpent Eagle,Spilornis klossi,Near Threatened,Schedule-I,,,NA,NA,NA,NA,0.0953,0,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
251,Crested Serpent Eagle,Spilornis cheela,Least Concern,Schedule-I,X,X,-21.21822996,16.32590491,-6.35852378,2.877689431,111.6602527,0.0905,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
252,Andaman Serpent Eagle,Spilornis elgini,Vulnerable,Schedule-I,,X,NA,NA,-4.675567493,9.933294333,0.4822327,0.0161,Data Deficient,Uncertain,Restricted,High,Range Size & IUCN Status,Resident
253,Short-toed Snake Eagle,Circaetus gallicus,Least Concern,Schedule-I,X,X,-62.39976359,8.615313145,-8.898408695,2.939024505,110.4266169,0.1203,Strong Decline,Strong Decline,Very Large,High,Trends,Resident
254,Changeable Hawk Eagle,Nisaetus cirrhatus,Least Concern,Schedule-I,,,-37.68368559,16.63410636,-5.710998462,3.844516876,55.3310775,0.0769,Stable,Moderate Decline,Large,Low,Trends & Range Size,Resident
255,Mountain Hawk-Eagle,Nisaetus nipalensis,Least Concern,Schedule-I,X,X,-26.97082894,45.91855687,-5.451320551,8.709653848,13.740104,0.0752,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
